organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,type,arrival,departure,frequency,start,end,exceptions,timetable
Midlothian,Mobile,Week 1 Monday,Bilston Primary School,Bilston Nursery,"Bilston Nursery, Bilston Primary School",,-3.18264420000003,55.8695055,Monday,Public,9:30,10:30,FREQ=WEEKLY;INTERVAL=2,2020-02-24,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
Midlothian,Mobile,Week 1 Monday,Bilston,"Near Post Office, Castlelaw Crescent, Bilston","Near Post Office, Castlelaw Crescent, Bilston, Bilston",,-3.18209100000001,55.8691536,Monday,Public,10:30,11:15,FREQ=WEEKLY;INTERVAL=2,2020-02-24,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
Midlothian,Mobile,Week 1 Monday,Silverburn,Outside Silverburn Hall,"Outside Silverburn Hall, Silverburn",,-3.27245019999998,55.828285,Monday,Public,11:30,12:00,FREQ=WEEKLY;INTERVAL=2,2020-02-24,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
Midlothian,Mobile,Week 1 Monday,Nine Mile Burn,Nine Mile Burn,Nine Mile Burn,,-3.30757199999994,55.809141,Monday,Public,12:05,12:45,FREQ=WEEKLY;INTERVAL=2,2020-02-24,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
Midlothian,Mobile,Week 1 Monday,Loanstone,Layby on Main Road Through Loanstone,"Layby on Main Road Through Loanstone, Loanstone",,-3.20140309999999,55.8293648,Monday,Public,13:45,14:10,FREQ=WEEKLY;INTERVAL=2,2020-02-24,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
Midlothian,Mobile,Week 1 Monday,Howgate,Howgate,"Howgate, Howgate",,-3.2022121,55.8107984,Monday,Public,14:15,14:45,FREQ=WEEKLY;INTERVAL=2,2020-02-24,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
Midlothian,Mobile,Week 1 Monday,Burnbrae Rd,Outside #90,"Outside #90, Burnbrae Rd",,-3.10090719999994,55.8660255,Monday,Public,15:00,16:15,FREQ=WEEKLY;INTERVAL=2,2020-02-24,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
Midlothian,Mobile,Week 2 Monday,Auchendinny 2,Auchendinny 2,Auchendinny 2,,-3.19241290000002,55.8463183,Monday,Public,9:45,10:00,FREQ=WEEKLY;INTERVAL=2,2020-03-02,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
Midlothian,Mobile,Week 2 Monday,Bilston,Outside shop/post office in Castlelaw Crescent,"Outside shop/post office in Castlelaw Crescent, Bilston",,-3.18209000000002,55.86915,Monday,Public,10:15,11:15,FREQ=WEEKLY;INTERVAL=2,2020-03-02,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
Midlothian,Mobile,Week 2 Monday,Bilston Corby Craig,Corby Craig Crescent,"Corby Craig Crescent, Bilston Corby Craig",,-3.17737480000005,55.8729901,Monday,Public,11:30,12:00,FREQ=WEEKLY;INTERVAL=2,2020-03-02,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
Midlothian,Mobile,Week 2 Monday,Rosewell Primary School,Outside School,"Outside School, Rosewell Primary School",,-3.13533940000002,55.8524205,Monday,Public,13:15,14:00,FREQ=WEEKLY;INTERVAL=2,2020-03-02,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
Midlothian,Mobile,Week 2 Monday,Cameron Crescent,Bonnyrigg,"Bonnyrigg, Cameron Crescent",,-3.12287289999995,55.8683524,Monday,Public,14:10,14:30,FREQ=WEEKLY;INTERVAL=2,2020-03-02,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
Midlothian,Mobile,Week 2 Monday,Polton Bank,Lasswade,"Lasswade, Polton Bank",,-3.12920699999995,55.8702084,Monday,Public,14:35,14:55,FREQ=WEEKLY;INTERVAL=2,2020-03-02,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
Midlothian,Mobile,Week 2 Monday,James Leary Way,Bonnyrigg,"Bonnyrigg, James Leary Way",,-3.09785090000003,55.8783134,Monday,Public,15:05,16:15,FREQ=WEEKLY;INTERVAL=2,2020-03-02,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
Midlothian,Mobile,Week 2 Monday,Bilston,Outside Shop/Post Office on Castlelaw Crescent,"Outside Shop/Post Office on Castlelaw Crescent, Bilston",,-3.18205555555551,55.8688055555556,Monday,Public,15:00,16:00,FREQ=WEEKLY;INTERVAL=2,2020-03-02,,,https://www.midlothian.gov.uk/info/427/libraries/446/mobile_library
