organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Norfolk,NWA,NWA212,Briston,Copeman Centre / Nursery,"Copeman Centre / Nursery, Briston",,1.063626151344314,52.849158013866436,Tuesday,11:15,11:35,FREQ=WEEKLY;INTERVAL=4,2019-08-13,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/NWA-212.pdf
Norfolk,CEN2,CEN314,North Tudenham,Springfield Farm,"Springfield Farm, North Tudenham",,1.0310042940245379,52.691295313006954,Wednesday,10:25,10:35,FREQ=WEEKLY;INTERVAL=4,2019-08-21,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN2-314.pdf
Norfolk,CEN1,CEN315,Bradwell,Mill Lane Community Ctre,"Mill Lane Community Ctre, Bradwell",,1.6989701066053813,52.586123877643004,Wednesday,10:35,11:25,FREQ=WEEKLY;INTERVAL=4,2019-08-28,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-315.pdf
Norfolk,CEN3,CEN215,Swardeston,Hillside Close,"Hillside Close, Swardeston",,1.2491372155938154,52.57836073556412,Tuesday,10:30,10:45,FREQ=WEEKLY;INTERVAL=4,2019-08-20,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN3-215.pdf
Norfolk,CEN1,CEN418,Cringleford,Tungate Crescent,"Tungate Crescent, Cringleford",,1.24492083855494,52.6006100865457,Thursday,14:00,14:20,FREQ=WEEKLY;INTERVAL=4,2019-09-05,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-418.pdf
Norfolk,CEN1,CEN117,Tibenham,The Heywood,"The Heywood, Tibenham",,1.1183654111885384,52.41648837484398,Monday,14:40,15:00,FREQ=WEEKLY;INTERVAL=4,2019-08-12,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-117.pdf
Norfolk,CEN1,CEN114,Cantley,School Lane,"School Lane, Cantley",,1.5059414930033441,52.584996194600976,Monday,14:45,15:00,FREQ=WEEKLY;INTERVAL=4,2019-08-26,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-114.pdf
Norfolk,CEN2,CEN419,Easton,Parkers Close,"Parkers Close, Easton",,1.1636366906036644,52.651592072278675,Thursday,10:45,11:00,FREQ=WEEKLY;INTERVAL=4,2019-09-05,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN2-419.pdf
Norfolk,CEN2,CEN414,North Lopham,Tanns Lane,"Tanns Lane, North Lopham",,0.9923545010292733,52.40776824133171,Thursday,11:55,12:15,FREQ=WEEKLY;INTERVAL=4,2019-08-22,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN2-414.pdf
Norfolk,NWA,NWA110,Northrepps,Village Hall,"Village Hall, Northrepps",,1.3348983283373728,52.90432918294782,Monday,14:45,15:45,FREQ=WEEKLY;INTERVAL=4,2019-08-26,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/NWA-110.pdf
Norfolk,CEN3,CEN323,Ditchingham,Scudamore Place,"Scudamore Place, Ditchingham",,1.4411309511917874,52.46871443002033,Wednesday,10:45,10:55,FREQ=WEEKLY;INTERVAL=4,2019-08-14,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN3-323.pdf
Norfolk,CEN1,CEN218,Postwick,Village Hall,"Village Hall, Postwick",,1.3932510622390517,52.619087176991236,Tuesday,11:35,12:05,FREQ=WEEKLY;INTERVAL=4,2019-09-03,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-218.pdf
Norfolk,NWA,NWA210,Sutton,Old Windmill Public House,"Old Windmill Public House, Sutton",,1.5369327972585711,52.753491872832555,Tuesday,10:40,10:55,FREQ=WEEKLY;INTERVAL=4,2019-08-27,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/NWA-210.pdf
Norfolk,CEN1,CEN413,Bowthorpe,Yaxley Way,"Yaxley Way, Bowthorpe",,1.2212381334570124,52.63975905229196,Thursday,10:25,10:40,FREQ=WEEKLY;INTERVAL=4,2019-08-22,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-413.pdf
Norfolk,NWA,NWA209,Briggate,Telephone Kiosk,"Telephone Kiosk, Briggate",,1.4308883165225443,52.79387223758177,Tuesday,10:40,10:55,FREQ=WEEKLY;INTERVAL=4,2019-08-20,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/NWA-209.pdf
Norfolk,CEN2,CEN514,Bramerton,Bullockshed Lane,"Bullockshed Lane, Bramerton",,1.3875338261255867,52.58640460527682,Friday,10:45,11:00,FREQ=WEEKLY;INTERVAL=4,2019-08-23,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN2-514.pdf
Norfolk,CEN1,CEN513,Denton,"Norwich Road (Just Past ""Sunbeam"" Cottage)","Norwich Road (Just Past ""Sunbeam"" Cottage), Denton",,1.353021979582781,52.45367286862667,Friday,10:55,11:10,FREQ=WEEKLY;INTERVAL=4,2019-08-23,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-513.pdf
Norfolk,CEN1,CEN213,Wicklewood,Hillside,"Hillside, Wicklewood",,1.0608750420475461,52.582778628815504,Tuesday,10:55,11:10,FREQ=WEEKLY;INTERVAL=4,2019-08-20,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-213.pdf
Norfolk,CEN1,CEN317,Little Melton,Post Office,"Post Office, Little Melton",,1.1968467934307967,52.617504601616815,Wednesday,10:50,11:05,FREQ=WEEKLY;INTERVAL=4,2019-09-04,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-317.pdf
Norfolk,DER,DER502,Clenchwarton,Rectory Drive,"Rectory Drive, Clenchwarton",,0.35574942610000526,52.756083047192604,Friday,10:40,10:50,FREQ=WEEKLY;INTERVAL=4,2019-08-30,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DER-502.pdf
Norfolk,DOW,DOW304,Welney,Delph House,"Delph House, Welney",,0.24705241433490574,52.523643910870746,Wednesday,10:55,11:20,FREQ=WEEKLY;INTERVAL=4,2019-08-14,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DOW-304.pdf
