WKT,destination_stop,destination_stop_latitude,destination_stop_longitude,distance,duration,mobile,origin_stop,origin_stop_latitude,origin_stop_longitude,route
"LINESTRING (-2.857524 56.521388,-2.858357 56.521582,-2.860171 56.522055,-2.861237 56.522348,-2.863238 56.521255,-2.863525 56.521035,-2.863782 56.520719,-2.86258 56.520408)",Gagiebank,"56.52041113517219","-2.8625769793054325",574.4,64.2,Van 1,By Ps,"56.52136238244871","-2.857543718704205",Van 1 Week 1 Monday
"LINESTRING (-2.86258 56.520408,-2.863782 56.520719,-2.863525 56.521035,-2.863238 56.521255,-2.862202 56.521821)",Wellbank  Hall,"56.522188055650965","-2.862861171806971",239.6,29,Van 1,Gagiebank,"56.52041113517219","-2.8625769793054325",Van 1 Week 1 Monday
"LINESTRING (-2.862202 56.521821,-2.861237 56.522348,-2.861038 56.522502,-2.859728 56.524077,-2.859019 56.52492,-2.858804 56.525096,-2.858154 56.525515,-2.85771 56.525839,-2.85702 56.526396,-2.856012 56.527202,-2.853373 56.529232,-2.852984 56.529474,-2.84997 56.531094,-2.849775 56.531219,-2.849666 56.531334,-2.84962 56.531428,-2.849589 56.531674,-2.849558 56.532747,-2.849554 56.532922,-2.849478 56.533938,-2.849451 56.534717,-2.8494 56.535052,-2.849081 56.535899,-2.848786 56.536588,-2.848658 56.536852,-2.848568 56.537093,-2.848603 56.537345,-2.850076 56.542224,-2.85009 56.542371,-2.850058 56.542551,-2.84962 56.544023,-2.849472 56.544601,-2.849396 56.544592,-2.848833 56.544436,-2.848608 56.544353,-2.848007 56.544081,-2.847647 56.54398,-2.838554 56.542055,-2.8379 56.541936,-2.834182 56.541395,-2.833212 56.541249,-2.822567 56.539649,-2.82066 56.53936,-2.819247 56.539277,-2.819321 56.538807,-2.818845 56.538746)",Broomwell Gdns,"56.53878353807244","-2.8188297016164805",4847.6,343.3,Van 1,Wellbank  Hall,"56.522188055650965","-2.862861171806971",Van 1 Week 1 Monday
"LINESTRING (-2.818845 56.538746,-2.819321 56.538807,-2.819247 56.539277,-2.819038 56.539264,-2.818177 56.539176,-2.816308 56.538735,-2.816025 56.538658,-2.815279 56.538457,-2.815077 56.538143)",Shop,"56.53815268685862","-2.815027328547016",381,44.5,Van 1,Broomwell Gdns,"56.53878353807244","-2.8188297016164805",Van 1 Week 1 Monday
"LINESTRING (-2.815077 56.538143,-2.814911 56.537885,-2.814509 56.537358,-2.813757 56.53753,-2.812775 56.537745,-2.812572 56.537757,-2.812357 56.537746,-2.812067 56.537683,-2.81173 56.537581,-2.810403 56.53727,-2.807689 56.537491,-2.805262 56.537516,-2.803609 56.537514,-2.801924 56.537489,-2.801658 56.537472,-2.801428 56.537437,-2.800791 56.537283,-2.80039 56.537168,-2.799993 56.537026,-2.799699 56.536896,-2.799398 56.536737,-2.79914 56.53658,-2.798958 56.536444,-2.798779 56.536263,-2.798615 56.53606,-2.798354 56.53565,-2.798042 56.535402,-2.797869 56.535317,-2.797377 56.535153,-2.797141 56.535097,-2.79686 56.535057,-2.795518 56.534979,-2.795276 56.534948,-2.795099 56.534893,-2.795575 56.534678,-2.797058 56.533993,-2.798011 56.533541,-2.798078 56.533394)",Craigton Of Monikie,"56.53341903134263","-2.798260459426868",1682.4,122.4,Van 1,Shop,"56.53815268685862","-2.815027328547016",Van 1 Week 1 Monday
"LINESTRING (-2.798078 56.533394,-2.798151 56.533233,-2.798078 56.532946,-2.79768 56.532514,-2.797347 56.532093,-2.797271 56.531991,-2.797181 56.531776,-2.797084 56.531462,-2.797059 56.53127,-2.797064 56.531215,-2.797122 56.53097,-2.797273 56.530626,-2.797381 56.530468,-2.797724 56.530181,-2.797959 56.530035,-2.798397 56.529818,-2.798878 56.529658,-2.799155 56.529586,-2.79944 56.529532,-2.799836 56.52949,-2.804664 56.529145,-2.805556 56.52909,-2.807389 56.529027,-2.807634 56.528999,-2.807816 56.528946,-2.80804 56.528855,-2.808248 56.528732,-2.809162 56.528102,-2.809507 56.527858,-2.809804 56.527595,-2.810314 56.526973,-2.810562 56.526654,-2.811518 56.524984,-2.811603 56.524574,-2.811628 56.523688,-2.811781 56.523088,-2.8121 56.522416,-2.812626 56.521849,-2.812916 56.521682,-2.813955 56.521311,-2.814343 56.5211,-2.81509 56.519885,-2.815986 56.518694,-2.816062 56.518579,-2.816331 56.518229,-2.816925 56.517333,-2.816961 56.517123,-2.816995 56.516734,-2.81704 56.51606,-2.817051 56.515939,-2.817166 56.514881)",Pitairlie Rd,"56.5148787356402","-2.817111491717693",2747.4,186.3,Van 1,Craigton Of Monikie,"56.53341903134263","-2.798260459426868",Van 1 Week 1 Monday
"LINESTRING (-2.817166 56.514881,-2.817051 56.515939,-2.81704 56.51606,-2.817288 56.516088,-2.817696 56.516119,-2.817901 56.516115)",Templehall Pl,"56.51614031360441","-2.817902457709881",184.7,21.4,Van 1,Pitairlie Rd,"56.5148787356402","-2.817111491717693",Van 1 Week 1 Monday
"LINESTRING (-2.817901 56.516115,-2.817696 56.516119,-2.817288 56.516088,-2.81704 56.51606,-2.817051 56.515939,-2.817196 56.514603,-2.81722 56.514268,-2.817284 56.513699,-2.817452 56.512908,-2.817704 56.512289,-2.81884 56.51074,-2.818864 56.510659,-2.818845 56.510561,-2.818376 56.510069,-2.818095 56.509896,-2.817902 56.509595,-2.818521 56.509425,-2.82112 56.50942,-2.825503 56.509413,-2.828178 56.509409,-2.829013 56.509407,-2.830146 56.50938,-2.831484 56.509302,-2.838585 56.507863,-2.839597 56.507647,-2.840712 56.50738,-2.843841 56.506417,-2.844391 56.506239,-2.84475 56.506105,-2.845 56.505958,-2.845423 56.505664,-2.845992 56.505056,-2.846501 56.504725,-2.848222 56.503811,-2.849237 56.503347,-2.853141 56.501539,-2.854443 56.503351,-2.854951 56.503519,-2.855929 56.50377,-2.856238 56.503912,-2.856753 56.50422,-2.857672 56.504552,-2.858616 56.504457,-2.860214 56.504351,-2.860873 56.504291,-2.862967 56.504433,-2.865714 56.504268,-2.870558 56.504017,-2.874235 56.504095,-2.874383 56.504088,-2.874633 56.504068,-2.875878 56.50383,-2.876001 56.503808,-2.876446 56.50379,-2.877265 56.503761,-2.878245 56.503652,-2.878468 56.503747,-2.879024 56.504222,-2.883592 56.504448,-2.883738 56.504514,-2.883653 56.505097,-2.88375 56.505482,-2.885691 56.505056,-2.887524 56.50459,-2.891634 56.502627,-2.892367 56.503312,-2.893527 56.504309,-2.893954 56.504416,-2.895086 56.50438,-2.896166 56.504318,-2.897532 56.504458,-2.898175 56.504471,-2.899805 56.504359,-2.900673 56.504348,-2.901768 56.504443,-2.902527 56.504567,-2.903118 56.504972,-2.905169 56.504797,-2.907704 56.50474,-2.908408 56.504703,-2.909024 56.50469,-2.910029 56.504524,-2.910451 56.504223,-2.910783 56.503893,-2.910895 56.503557,-2.91059 56.503135,-2.910404 56.502973,-2.910326 56.50288,-2.910494 56.502749,-2.910662 56.502619,-2.910783 56.502525,-2.910974 56.5024,-2.91139 56.502201,-2.911686 56.502157,-2.911941 56.5021,-2.912059 56.502064,-2.912102 56.502087)",Burnside Of Duntrune,"56.50209774601946","-2.912083264394049",7682.6,553.7,Van 1,Templehall Pl,"56.51614031360441","-2.817902457709881",Van 1 Week 1 Monday
"LINESTRING (-2.912102 56.502087,-2.912059 56.502064,-2.912131 56.502026,-2.912251 56.501926,-2.912276 56.501875,-2.912582 56.501765,-2.913322 56.501583,-2.914927 56.501327,-2.915277 56.501249,-2.916732 56.50077,-2.918175 56.500194,-2.919896 56.49946,-2.920132 56.499324,-2.920368 56.499188,-2.921141 56.498477,-2.921463 56.498216,-2.921913 56.498039,-2.924053 56.497673,-2.92458 56.497583,-2.925763 56.49738,-2.927106 56.49715,-2.928853 56.496516,-2.929677 56.496246,-2.930424 56.495876,-2.930707 56.495672,-2.930784 56.495502,-2.93075 56.495378,-2.931059 56.495274,-2.931282 56.495123,-2.931342 56.494943,-2.931316 56.494706,-2.931188 56.494412,-2.931059 56.493862,-2.931085 56.493351,-2.931282 56.4929,-2.93149 56.49246,-2.931457 56.492454,-2.931406 56.492405,-2.931458 56.492357,-2.931501 56.49235,-2.931536 56.492352,-2.931591 56.492374,-2.931608 56.492411,-2.931604 56.492422,-2.931934 56.492465,-2.932235 56.49246,-2.932681 56.492507,-2.933514 56.492635,-2.935574 56.493204,-2.935642 56.493218,-2.93578 56.493251,-2.936346 56.492649,-2.93687 56.492015,-2.937539 56.49127,-2.938209 56.49055,-2.938802 56.489854,-2.938761 56.489844,-2.938703 56.489779,-2.938719 56.489749,-2.938748 56.489729,-2.938876 56.489716,-2.938926 56.489733,-2.939316 56.48929,-2.93941 56.489219,-2.939582 56.489095,-2.939754 56.489015,-2.94014 56.488873,-2.940552 56.488764,-2.941075 56.48865,-2.941702 56.488622,-2.942492 56.488631,-2.942577 56.488631,-2.943625 56.488683,-2.944474 56.488721,-2.945316 56.488717,-2.946054 56.48866,-2.946586 56.488584,-2.947753 56.488366,-2.948431 56.488224,-2.94892 56.488129,-2.949304 56.488043,-2.949433 56.487976,-2.949547 56.487862,-2.949657 56.487688,-2.949682 56.487523,-2.949632 56.487321,-2.949593 56.487164,-2.949523 56.486881,-2.949509 56.486528,-2.949538 56.486294,-2.950199 56.486368,-2.95065 56.486402,-2.95088 56.486418,-2.951822 56.48646,-2.953148 56.486522,-2.954416 56.486566,-2.954905 56.486621,-2.955366 56.486715,-2.956044 56.486923,-2.958031 56.487576,-2.9593 56.487982,-2.960097 56.488264,-2.96051 56.488463,-2.960872 56.488679,-2.961928 56.489509,-2.96298 56.490376,-2.963242 56.490583,-2.963544 56.490747,-2.963845 56.490879,-2.964197 56.490991,-2.964581 56.491084,-2.964995 56.491144,-2.965455 56.491184,-2.966042 56.491185,-2.967602 56.491145,-2.968611 56.491205,-2.969669 56.491355,-2.970115 56.491395,-2.970925 56.491455,-2.97265 56.491587,-2.972661 56.491495,-2.972715 56.491437,-2.972758 56.49141,-2.972856 56.491374,-2.972983 56.491358,-2.9731 56.491365,-2.973208 56.491394,-2.973297 56.491446,-2.97334 56.491497,-2.973345 56.491601,-2.973292 56.491665,-2.973206 56.491713,-2.973061 56.491747,-2.97313 56.491863,-2.973464 56.492416,-2.973759 56.49286,-2.974067 56.493347,-2.97464 56.494177,-2.974802 56.494418,-2.97498 56.494551,-2.97514 56.49462,-2.975299 56.494661,-2.975423 56.494684,-2.975689 56.49469,-2.97594 56.494667,-2.976872 56.494521,-2.977333 56.494448,-2.978491 56.494266,-2.979728 56.494073,-2.980363 56.494026,-2.980715 56.49404,-2.981084 56.494097,-2.981677 56.49423,-2.981835 56.494262,-2.982587 56.494414,-2.983385 56.494571,-2.984861 56.494874,-2.985789 56.495063,-2.987333 56.495376,-2.988741 56.495585,-2.99017 56.495723,-2.990354 56.495741,-2.991384 56.49584,-2.992758 56.495946,-2.993418 56.495997,-2.993951 56.496044,-2.995324 56.496167,-2.995101 56.496712,-2.995083 56.496859,-2.995126 56.496968,-2.995247 56.497134,-2.995392 56.497281,-2.995521 56.49748,-2.995577 56.497622,-2.995605 56.497785,-2.995597 56.497889,-2.995575 56.497949,-2.995433 56.498073,-2.995216 56.498193,-2.995001 56.498311,-2.994898 56.498374,-2.994822 56.498433,-2.994663 56.498712,-2.994757 56.498906,-2.994986 56.49904,-2.995161 56.499143,-2.995658 56.499394,-2.996457 56.500204,-2.997306 56.500829,-2.996886 56.500995,-2.996834 56.501057,-2.996766 56.501241,-2.997279 56.501577)",Ashton Tce,"56.501577605885835","-2.997277528006179",7493.9,673,Van 1,Burnside Of Duntrune,"56.50209774601946","-2.912083264394049",Van 1 Week 1 Monday
"LINESTRING (-2.997279 56.501577,-2.996766 56.501241,-2.996834 56.501057,-2.996886 56.500995,-2.997306 56.500829,-2.996457 56.500204,-2.995658 56.499394,-2.995161 56.499143,-2.994986 56.49904,-2.994757 56.498906,-2.994663 56.498712,-2.994822 56.498433,-2.994898 56.498374,-2.995001 56.498311,-2.995216 56.498193,-2.995433 56.498073,-2.995575 56.497949,-2.995597 56.497889,-2.995605 56.497785,-2.995577 56.497622,-2.995521 56.49748,-2.995392 56.497281,-2.995247 56.497134,-2.995126 56.496968,-2.995083 56.496859,-2.995101 56.496712,-2.995324 56.496167,-2.993951 56.496044,-2.993418 56.495997,-2.992758 56.495946,-2.991384 56.49584,-2.990354 56.495741,-2.99017 56.495723,-2.988741 56.495585,-2.987333 56.495376,-2.985789 56.495063,-2.984861 56.494874,-2.983385 56.494571,-2.982587 56.494414,-2.981835 56.494262,-2.981677 56.49423,-2.981084 56.494097,-2.980715 56.49404,-2.980363 56.494026,-2.979728 56.494073,-2.978491 56.494266,-2.977333 56.494448,-2.976872 56.494521,-2.97594 56.494667,-2.975689 56.49469,-2.975423 56.494684,-2.975299 56.494661,-2.97514 56.49462,-2.97498 56.494551,-2.974802 56.494418,-2.97464 56.494177,-2.974067 56.493347,-2.973759 56.49286,-2.973464 56.492416,-2.97313 56.491863,-2.973061 56.491747,-2.972928 56.491746,-2.972747 56.491691,-2.972668 56.491624,-2.97265 56.491587,-2.970925 56.491455,-2.970115 56.491395,-2.969669 56.491355,-2.968611 56.491205,-2.967602 56.491145,-2.966042 56.491185,-2.965455 56.491184,-2.964995 56.491144,-2.964581 56.491084,-2.964197 56.490991,-2.963845 56.490879,-2.963544 56.490747,-2.963242 56.490583,-2.96298 56.490376,-2.961928 56.489509,-2.960872 56.488679,-2.96051 56.488463,-2.960097 56.488264,-2.9593 56.487982,-2.958031 56.487576,-2.956044 56.486923,-2.955366 56.486715,-2.954905 56.486621,-2.954416 56.486566,-2.953148 56.486522,-2.951822 56.48646,-2.95088 56.486418,-2.95065 56.486402,-2.950199 56.486368,-2.949538 56.486294,-2.949509 56.486528,-2.949523 56.486881,-2.949593 56.487164,-2.949632 56.487321,-2.949682 56.487523,-2.949657 56.487688,-2.949547 56.487862,-2.949433 56.487976,-2.949304 56.488043,-2.94892 56.488129,-2.948431 56.488224,-2.947753 56.488366,-2.946586 56.488584,-2.946054 56.48866,-2.945316 56.488717,-2.944474 56.488721,-2.943625 56.488683,-2.942577 56.488631,-2.942492 56.488631,-2.941702 56.488622,-2.941075 56.48865,-2.940552 56.488764,-2.94014 56.488873,-2.939754 56.489015,-2.939582 56.489095,-2.93941 56.489219,-2.939316 56.48929,-2.938926 56.489733,-2.938952 56.489753,-2.938959 56.489803,-2.938951 56.489816,-2.938924 56.489836,-2.938842 56.489856,-2.938802 56.489854,-2.938761 56.489844,-2.938703 56.489779,-2.938719 56.489749,-2.937857 56.489522,-2.936647 56.4892,-2.935514 56.488934,-2.934432 56.488754,-2.933969 56.488698,-2.933042 56.488645,-2.932407 56.488631,-2.931608 56.488626,-2.931265 56.48865,-2.93086 56.488692,-2.930867 56.488712,-2.930855 56.48874,-2.930802 56.488768,-2.930777 56.488772,-2.930739 56.488771,-2.930691 56.488759,-2.930652 56.488719,-2.930707 56.488661,-2.930741 56.488654,-2.93052 56.488296,-2.930355 56.487944,-2.930355 56.487835,-2.930149 56.487859,-2.928295 56.488186,-2.928046 56.488209,-2.927805 56.488216,-2.927809 56.488252,-2.927741 56.488319,-2.927671 56.488338,-2.927607 56.488341,-2.927506 56.488318,-2.927458 56.488284,-2.927034 56.488394,-2.926261 56.488517,-2.925883 56.488532,-2.925411 56.488517,-2.925242 56.488487,-2.924956 56.488437,-2.924484 56.488323,-2.924047 56.488157,-2.92366 56.487972,-2.92348 56.487792,-2.92324 56.487555,-2.923078 56.48724,-2.922943 56.487032,-2.922838 56.486921,-2.922657 56.486879,-2.922316 56.486842,-2.921996 56.486817,-2.920237 56.486659,-2.920038 56.486612,-2.919721 56.486537,-2.919446 56.486418,-2.919214 56.486224,-2.919006 56.486003,-2.918641 56.485619,-2.918401 56.485686,-2.917839 56.485777,-2.915485 56.485833,-2.915222 56.485839,-2.91447 56.48589,-2.913106 56.485983,-2.911331 56.486137,-2.910468 56.486256,-2.91037 56.486273,-2.909708 56.48641,-2.908835 56.486623,-2.905582 56.487458,-2.904532 56.487699,-2.903866 56.487799,-2.902961 56.48792,-2.90198 56.488046,-2.901372 56.488128,-2.900783 56.488208,-2.899774 56.488295,-2.898813 56.488366,-2.897456 56.488418,-2.8961 56.488451,-2.895431 56.488475,-2.895019 56.488489,-2.894126 56.488531,-2.893826 56.488517,-2.893514 56.488506,-2.893282 56.488492,-2.89295 56.488418,-2.892384 56.488276,-2.892212 56.488408,-2.892152 56.488532,-2.892186 56.488688,-2.892212 56.488972,-2.892367 56.489569,-2.892607 56.490299,-2.89289 56.491019,-2.892976 56.491441,-2.892899 56.491811,-2.892719 56.492157,-2.89247 56.49254,-2.892391 56.49261,-2.892066 56.492896,-2.890925 56.493801,-2.890324 56.494369,-2.891216 56.494668,-2.892032 56.494914,-2.892702 56.495044,-2.892717 56.495013,-2.89275 56.494986,-2.892855 56.494958,-2.892894 56.494958,-2.89295 56.494968,-2.893029 56.495015,-2.893042 56.495047,-2.893038 56.495072,-2.893432 56.495114,-2.894097 56.49521,-2.894352 56.4953,-2.894932 56.495736,-2.895396 56.49643,-2.895642 56.496892,-2.896047 56.497169,-2.896468 56.497317,-2.897004 56.497405,-2.898164 56.497284,-2.89859 56.497314,-2.89873 56.497343,-2.89894 56.497387,-2.900725 56.497823,-2.901094 56.49785,-2.901175 56.497842,-2.901742 56.497748,-2.902188 56.497828,-2.902512 56.497945,-2.902952 56.49804,-2.903778 56.498174,-2.903599 56.498395,-2.903397 56.498592,-2.903397 56.498909)",Oak Loan,"56.49890912383271","-2.9033648430878047",9981.7,1028.5,Van 1,Ashton Tce,"56.501577605885835","-2.997277528006179",Van 1 Week 1 Monday
