organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Wrexham,Mobile 1,Route 2,Gyfeilia,Moreton Terrace,"Moreton Terrace, Gyfeilia",LL13 0YN,-3.009285,53.003373,Tuesday,9:20,9:50,FREQ=WEEKLY;INTERVAL=3,2019-01-15,,http://www.wrexham.gov.uk/english/community/libraries/mobile_library.htm
Wrexham,Mobile 1,Route 2,Marchwiel,Maelor View,"Maelor View, Marchwiel",LL13 0RJ,-2.959087,53.024563,Tuesday,10:00,10:35,FREQ=WEEKLY;INTERVAL=3,2019-01-15,,http://www.wrexham.gov.uk/english/community/libraries/mobile_library.htm
Wrexham,Mobile 1,Route 2,Marchwiel,Ridgeway,"Ridgeway, Marchwiel",LL13 0SB,-2.953389,53.021741,Tuesday,10:40,11:25,FREQ=WEEKLY;INTERVAL=3,2019-01-15,,http://www.wrexham.gov.uk/english/community/libraries/mobile_library.htm
Wrexham,Mobile 1,Route 2,Isycoed,School,"School, Isycoed",LL13 9RL,-2.895603,53.038938,Tuesday,11:45,12:30,FREQ=WEEKLY;INTERVAL=3,2019-01-15,,http://www.wrexham.gov.uk/english/community/libraries/mobile_library.htm
Wrexham,Mobile 1,Route 2,Rhosymedre,Community Centre,"Community Centre, Rhosymedre",LL14 3US,-3.063959,52.980881,Tuesday,14:30,15:45,FREQ=WEEKLY;INTERVAL=3,2019-01-15,,http://www.wrexham.gov.uk/english/community/libraries/mobile_library.htm
Wrexham,Mobile 1,Route 2,Plas Madoc,Plas Telford,"Plas Telford, Plas Madoc",LL14 3AU,-3.063466,52.983834,Tuesday,15:50,16:50,FREQ=WEEKLY;INTERVAL=3,2019-01-15,,http://www.wrexham.gov.uk/english/community/libraries/mobile_library.htm
Wrexham,Mobile 1,Route 3,Bangor on Dee,Abbotsway,"Abbotsway, Bangor on Dee",LL13 0AA,-2.910315,53.004559,Wednesday,10:00,11:15,FREQ=WEEKLY;INTERVAL=3,2019-01-16,,http://www.wrexham.gov.uk/english/community/libraries/mobile_library.htm
Wrexham,Mobile 1,Route 3,Tallarn Green,Elk View,"Elk View, Tallarn Green",SY14 7LH,-2.823894,52.991156,Wednesday,11:40,12:25,FREQ=WEEKLY;INTERVAL=3,2019-01-16,,http://www.wrexham.gov.uk/english/community/libraries/mobile_library.htm
Wrexham,Mobile 1,Route 3,Horsemans Green,Scout Hut,"Scout Hut, Horsemans Green",SY13 3DY,-2.82747,52.964712,Wednesday,12:45,13:15,FREQ=WEEKLY;INTERVAL=3,2019-01-16,,http://www.wrexham.gov.uk/english/community/libraries/mobile_library.htm
Wrexham,Mobile 1,Route 3,Erbistock,St Irvin's Estate,"St Irvin's Estate, Erbistock",LL13 0DN,-2.962825,52.96878,Wednesday,14:40,15:20,FREQ=WEEKLY;INTERVAL=3,2019-01-16,,http://www.wrexham.gov.uk/english/community/libraries/mobile_library.htm
