organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,type,arrival,departure,frequency,start,end,exceptions,timetable
Birmingham,Mobile,Friday,Falcon Lodge,Churchill Road (Ogley Drive end),"Churchill Road (Ogley Drive end), Falcon Lodge",,-1.793926,52.563461,Friday,Public,14:00,14:30,FREQ=WEEKLY;INTERVAL=1,2020-03-20,,,https://www.birmingham.gov.uk/info/50163/library_services/1479/mobile_library_service/3
Birmingham,Mobile,Friday,Falcon Lodge,"Churchill Road (lay-by, opposite shops)","Churchill Road (lay-by, opposite shops), Falcon Lodge",,-1.789527,52.563436,Friday,Public,14:30,16:15,FREQ=WEEKLY;INTERVAL=1,2020-03-20,,,https://www.birmingham.gov.uk/info/50163/library_services/1479/mobile_library_service/3
Birmingham,Mobile,Friday,Witton,Cheshire Road/Deykin Avenue,"Cheshire Road/Deykin Avenue, Witton",,-1.877275,52.514189,Friday,Public,10:00,12:00,FREQ=WEEKLY;INTERVAL=1,2020-03-20,,,https://www.birmingham.gov.uk/info/50163/library_services/1479/mobile_library_service/3
Birmingham,Mobile,Monday,West Heath,Houldey Road,"Houldey Road, West Heath",,-1.959662,52.402585,Monday,Public,10:00,12:00,FREQ=WEEKLY;INTERVAL=1,2020-03-16,,,https://www.birmingham.gov.uk/info/50163/library_services/1479/mobile_library_service/3
Birmingham,Mobile,Saturday 1,Edgbaston,Balsall Heath Road,"Balsall Heath Road, Edgbaston",,-1.898338,52.464841,Saturday,Public,15:00,16:00,FREQ=WEEKLY;INTERVAL=4,2020-03-21,,,https://www.birmingham.gov.uk/info/50163/library_services/1479/mobile_library_service/3
Birmingham,Mobile,Saturday 1,Handsworth,Junction Road,"Junction Road, Handsworth",,-1.952711,52.504111,Saturday,Public,10:00,10:30,FREQ=WEEKLY;INTERVAL=4,2020-03-21,,,https://www.birmingham.gov.uk/info/50163/library_services/1479/mobile_library_service/3
Birmingham,Mobile,Saturday 1,Handsworth Wood,Beechglade,"Beechglade, Handsworth Wood",,-1.933711,52.521896,Saturday,Public,10:45,12:15,FREQ=WEEKLY;INTERVAL=4,2020-03-21,,,https://www.birmingham.gov.uk/info/50163/library_services/1479/mobile_library_service/3
Birmingham,Mobile,Saturday 1,Moseley,Forest Road,"Forest Road, Moseley",,-1.881424,52.447152,Saturday,Public,14:00,14:45,FREQ=WEEKLY;INTERVAL=4,2020-03-21,,,https://www.birmingham.gov.uk/info/50163/library_services/1479/mobile_library_service/3
Birmingham,Mobile,Saturday 2,Firs,Collingbourne Avenue,"Collingbourne Avenue, Firs",,-1.807749,52.504567,Saturday,Public,10:00,11:00,FREQ=WEEKLY;INTERVAL=4,2020-04-04,,,https://www.birmingham.gov.uk/info/50163/library_services/1479/mobile_library_service/3
Birmingham,Mobile,Saturday 2,Firs,Reynoldstown Road,"Reynoldstown Road, Firs",,-1.823995,52.504951,Saturday,Public,12:00,12:30,FREQ=WEEKLY;INTERVAL=4,2020-04-04,,,https://www.birmingham.gov.uk/info/50163/library_services/1479/mobile_library_service/3
