organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,type,arrival,departure,frequency,start,end,exceptions,timetable
West Dunbartonshire,Mobile,Monday,Bonhill & Haldane,37 Ladyton,"37 Ladyton, Bonhill & Haldane",,-4.567379,55.979036,Monday,Public,09:30,09:50,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,,https://www.west-dunbarton.gov.uk/libraries/mobile-housebound-services/mobile-library-service/mobile-library-timetable/
West Dunbartonshire,Mobile,Monday,Bonhill & Haldane,115 Ladyton,"115 Ladyton, Bonhill & Haldane",,-4.56687,55.979932,Monday,Public,09:55,10:10,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,,https://www.west-dunbarton.gov.uk/libraries/mobile-housebound-services/mobile-library-service/mobile-library-timetable/
West Dunbartonshire,Mobile,Monday,Bonhill & Haldane,43 - 47 O'Hare,"43 - 47 O'Hare, Bonhill & Haldane",,-4.56515,55.981985,Monday,Public,10:15,10:25,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,,https://www.west-dunbarton.gov.uk/libraries/mobile-housebound-services/mobile-library-service/mobile-library-timetable/
West Dunbartonshire,Mobile,Monday,Bonhill & Haldane,270 Pappert,"270 Pappert, Bonhill & Haldane",,-4.556934,55.981116,Monday,Public,10:30,10:50,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,,https://www.west-dunbarton.gov.uk/libraries/mobile-housebound-services/mobile-library-service/mobile-library-timetable/
West Dunbartonshire,Mobile,Monday,Bonhill & Haldane,Dumbain Road (at the flats),"Dumbain Road (at the flats), Bonhill & Haldane",,-4.5639718,56.0050581,Monday,Public,11:00,11:20,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,,https://www.west-dunbarton.gov.uk/libraries/mobile-housebound-services/mobile-library-service/mobile-library-timetable/
West Dunbartonshire,Mobile,Monday,Bonhill & Haldane,Brown Street (at the shops),"Brown Street (at the shops), Bonhill & Haldane",,-4.5645404,56.0019746,Monday,Public,11:25,11:55,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,,https://www.west-dunbarton.gov.uk/libraries/mobile-housebound-services/mobile-library-service/mobile-library-timetable/
West Dunbartonshire,Mobile,Monday,Gartocharn & Lomondgate,Gartocharn Lay-by,"Gartocharn Lay-by, Gartocharn & Lomondgate",,-4.524482,56.042822,Monday,Public,13:30,13:50,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,,https://www.west-dunbarton.gov.uk/libraries/mobile-housebound-services/mobile-library-service/mobile-library-timetable/
West Dunbartonshire,Mobile,Monday,Gartocharn & Lomondgate,Lagganbeg Caravan Park,"Lagganbeg Caravan Park, Gartocharn & Lomondgate",,-4.526482,56.052035,Monday,Public,14:00,14:30,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,,https://www.west-dunbarton.gov.uk/libraries/mobile-housebound-services/mobile-library-service/mobile-library-timetable/
West Dunbartonshire,Mobile,Monday,Gartocharn & Lomondgate,Glenfinnan Drive (at playpark),"Glenfinnan Drive (at playpark), Gartocharn & Lomondgate",,-4.562004,55.953095,Monday,Public,14:50,15:10,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,,https://www.west-dunbarton.gov.uk/libraries/mobile-housebound-services/mobile-library-service/mobile-library-timetable/
West Dunbartonshire,Mobile,Monday,Gartocharn & Lomondgate,Glenfinnan Drive (at layby),"Glenfinnan Drive (at layby), Gartocharn & Lomondgate",,-4.563961,55.9551767,Monday,Public,14:50,15:10,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,,https://www.west-dunbarton.gov.uk/libraries/mobile-housebound-services/mobile-library-service/mobile-library-timetable/
