WKT,destination_stop,destination_stop_latitude,destination_stop_longitude,distance,duration,mobile,origin_stop,origin_stop_latitude,origin_stop_longitude,route
"LINESTRING (-1.065022 50.820515,-1.064999 50.820515,-1.064966 50.820277,-1.064961 50.82023,-1.064882 50.819489,-1.064851 50.819195,-1.064755 50.818512,-1.064687 50.817865,-1.064665 50.81768,-1.064648 50.817545,-1.064595 50.817109,-1.064589 50.817058,-1.064584 50.816816,-1.064583 50.816773,-1.064578 50.816497,-1.064596 50.816344,-1.064594 50.815906,-1.064591 50.815774,-1.064581 50.815295,-1.064598 50.815171,-1.064636 50.814566,-1.064622 50.814189,-1.064611 50.813938,-1.064584 50.813636,-1.064589 50.813372,-1.064626 50.813079,-1.064671 50.81288,-1.064707 50.812691,-1.064705 50.812673,-1.064696 50.812552,-1.064671 50.812446,-1.064569 50.812239,-1.064128 50.811757,-1.064014 50.811565,-1.063949 50.811226,-1.063952 50.811158,-1.063972 50.810684,-1.063873 50.809844,-1.063759 50.809334,-1.063763 50.80923,-1.063811 50.80911,-1.063895 50.808986,-1.063996 50.808807,-1.064029 50.808666,-1.063961 50.808514,-1.063796 50.808445,-1.063495 50.808372,-1.063309 50.808299,-1.063217 50.808265,-1.063158 50.808207,-1.063107 50.808125,-1.063112 50.807971,-1.063129 50.807661,-1.063166 50.807321,-1.063207 50.807077,-1.063257 50.806777,-1.063267 50.806699,-1.063283 50.806627,-1.063349 50.805998,-1.063626 50.802891,-1.063646 50.802731,-1.063609 50.802686,-1.063601 50.802625,-1.06361 50.802578,-1.06365 50.802483,-1.063713 50.802437,-1.063592 50.802297,-1.063386 50.80196,-1.063017 50.80138,-1.062986 50.801331,-1.062574 50.800716,-1.062545 50.800677,-1.062439 50.800539,-1.062311 50.800374,-1.061741 50.799652,-1.061006 50.798785,-1.060702 50.798426,-1.060517 50.798168,-1.06045 50.798043,-1.060363 50.797866,-1.060308 50.797782,-1.060249 50.797671,-1.060114 50.797447,-1.059886 50.797075,-1.059513 50.796525,-1.05939 50.796315,-1.059305 50.796155,-1.059196 50.79591,-1.059107 50.795657,-1.059068 50.795543,-1.05903 50.795443,-1.058998 50.795362,-1.058786 50.794834,-1.058672 50.794441,-1.058659 50.794412,-1.058337 50.7937,-1.058165 50.793418,-1.05799 50.793221,-1.05794 50.793164,-1.057355 50.792586,-1.057272 50.792496,-1.057117 50.79236,-1.056979 50.792255,-1.056832 50.792165,-1.056745 50.792116,-1.056586 50.792043,-1.055938 50.791727,-1.055636 50.791573,-1.055557 50.791523,-1.055459 50.791456,-1.055335 50.791362,-1.055243 50.791265,-1.055125 50.791091,-1.055075 50.790985,-1.05504 50.790856,-1.055033 50.790617,-1.055085 50.790357,-1.055117 50.790218,-1.055221 50.789755,-1.055257 50.789543,-1.055321 50.789214,-1.055429 50.788718,-1.055552 50.788235,-1.055649 50.787823,-1.055682 50.787749,-1.055741 50.78764,-1.055841 50.787542,-1.056163 50.787408,-1.056338 50.787313,-1.056499 50.787159,-1.056672 50.786976,-1.056721 50.78689,-1.056728 50.786843,-1.05672 50.786788,-1.056705 50.786747,-1.056714 50.786714,-1.056725 50.786702,-1.05674 50.786686,-1.056829 50.786653,-1.056885 50.786653,-1.056912 50.786657,-1.057254 50.786128,-1.057441 50.785764,-1.057543 50.785519,-1.057647 50.78524,-1.057666 50.785197,-1.057846 50.784657,-1.057971 50.78434,-1.05806 50.784101,-1.058165 50.783948,-1.05826 50.783906,-1.058323 50.783901,-1.059746 50.783998,-1.05984 50.784002,-1.059931 50.783997,-1.060095 50.783961,-1.060219 50.783899,-1.0603 50.783838,-1.060335 50.7838,-1.060362 50.783728,-1.060502 50.782972,-1.060546 50.78273,-1.060565 50.782633,-1.060955 50.782569,-1.061585 50.782404,-1.062318 50.782285,-1.063636 50.782369,-1.064536 50.782428,-1.065292 50.782458,-1.065963 50.78248,-1.066333 50.782475,-1.066684 50.782444,-1.06673 50.78244,-1.067258 50.782345,-1.067395 50.782336,-1.067445 50.782337,-1.068475 50.782345,-1.068714 50.782345,-1.069125 50.782346,-1.069475 50.782348,-1.070212 50.78234,-1.070522 50.782321,-1.070636 50.782312,-1.070736 50.782294,-1.071005 50.782216,-1.07108 50.782195,-1.072593 50.781734,-1.07289 50.781645,-1.072986 50.781599,-1.073113 50.781482)",Canoe Lake,"50.781337","-1.07278",5550,548.9,Mobile,Mayfield Road / Copnor Road,"50.820521","-1.065023",Friday
"LINESTRING (-1.040003 50.840008,-1.039958 50.840008,-1.039963 50.840154,-1.039965 50.840225,-1.039969 50.84029,-1.039948 50.840432,-1.039955 50.840524,-1.039963 50.840612,-1.039962 50.840736,-1.039965 50.840802,-1.04002 50.840854,-1.040083 50.840914,-1.040101 50.840969,-1.04012 50.841066,-1.040114 50.841117,-1.040531 50.841106,-1.041061 50.841098,-1.041042 50.84116,-1.041037 50.841216,-1.041023 50.841291,-1.041003 50.841342,-1.040948 50.841392,-1.040828 50.841421,-1.04046 50.841534,-1.040355 50.841567,-1.040219 50.841647,-1.040184 50.841751,-1.040243 50.841874,-1.040734 50.842016,-1.040901 50.842061,-1.041006 50.842083,-1.04106 50.841965,-1.04112 50.841851,-1.041268 50.841442,-1.041291 50.841377,-1.041325 50.841253,-1.041916 50.839296,-1.042024 50.838954,-1.04255 50.837385,-1.042608 50.837165,-1.042631 50.836858,-1.042668 50.836708,-1.042739 50.836449,-1.042784 50.836279,-1.042795 50.836238,-1.042824 50.836139,-1.042961 50.835652,-1.042998 50.835482,-1.042938 50.835357,-1.042828 50.835262,-1.042763 50.835231,-1.042561 50.835139,-1.042448 50.83505,-1.042323 50.834862,-1.042336 50.834677,-1.042384 50.834555,-1.042445 50.834467,-1.042571 50.834353,-1.042786 50.834219,-1.042923 50.834147,-1.043174 50.834037,-1.043535 50.833884,-1.043608 50.833835,-1.043698 50.833739,-1.043974 50.832852,-1.044069 50.832574,-1.044402 50.831536,-1.044671 50.830658,-1.044838 50.83037,-1.045313 50.828748,-1.045448 50.828015,-1.045475 50.827629,-1.045434 50.827171,-1.045394 50.82668,-1.045237 50.825912,-1.045032 50.825286,-1.045332 50.825247,-1.045449 50.825236,-1.045705 50.825211,-1.046102 50.825195,-1.046488 50.825221,-1.047262 50.825349,-1.046986 50.825398,-1.046834 50.825478,-1.046772 50.825548,-1.046682 50.825593,-1.046538 50.825616,-1.046399 50.825608,-1.04633 50.82607,-1.04655 50.826084,-1.046733 50.826094)",Morrison's,"50.826095","-1.046733",2639.6,418,Mobile,Sainsbury's,"50.840013","-1.040003",Thursday
"LINESTRING (-1.072416 50.826086,-1.072731 50.825736,-1.072782 50.825666,-1.072916 50.825467,-1.072337 50.825362,-1.069597 50.825157,-1.065998 50.824906,-1.065416 50.824921,-1.065333 50.824651,-1.065292 50.824286,-1.065265 50.82404,-1.065253 50.823703,-1.065244 50.823429,-1.065183 50.822679,-1.065172 50.822562,-1.065121 50.821926,-1.06512 50.821895,-1.06506 50.821184,-1.065052 50.821143,-1.065019 50.820752,-1.064999 50.820515,-1.065022 50.820515)",Mayfield Road / Copnor Road,"50.820521","-1.065023",1101.5,123.2,Mobile,London Road (opposite Amberley Road),"50.826083","-1.072409",Wednesday
