organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,type,arrival,departure,frequency,start,end,exceptions,timetable
Milton Keynes,Mobile,Monday,Neath Hill,"Local Centre, Tower Crescent","Local Centre, Tower Crescent, Neath Hill",MK14 6JY,-0.747321,52.060411,Monday,Public,09:00,09:45,FREQ=WEEKLY;INTERVAL=1,2019-10-14,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Monday,Beanhill,Local Centre,"Local Centre, Beanhill",MK6 4LP,-0.73468,52.017353,Monday,Public,09:55,10:45,FREQ=WEEKLY;INTERVAL=1,2019-10-14,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Monday,Great Linford,High Street,"High Street, Great Linford",MK14 5BJ,-0.757324,52.068942,Monday,Public,10:55,11:40,FREQ=WEEKLY;INTERVAL=1,2019-10-14,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Monday,Great Linford,Fulwell Court,"Fulwell Court, Great Linford",MK14 5HB,-0.758487,52.065924,Monday,Public,11:45,12:15,FREQ=WEEKLY;INTERVAL=1,2019-10-14,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Monday,Bletchley,Windmill Hill,"Windmill Hill, Bletchley",MK3 7RG,-0.766853,51.990972,Monday,Public,13:00,13:40,FREQ=WEEKLY;INTERVAL=1,2019-10-14,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Monday,Newport Pagnell,Wordsworth Avenue,"Wordsworth Avenue, Newport Pagnell",MK16 8SB,-0.743588,52.08739,Monday,Public,14:00,15:45,FREQ=WEEKLY;INTERVAL=1,2019-10-14,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Monday,Newton Leys,St Helena Avenue,"St Helena Avenue, Newton Leys",MK3 5FL,-0.733779,51.972872,Monday,Public,16:10,16:45,FREQ=WEEKLY;INTERVAL=1,2019-10-14,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Tuesday,Heelands,Robins Children's Centre,"Robins Children's Centre, Heelands",MK13 7QL,-0.779956,52.050054,Tuesday,Public,09:00,10:00,FREQ=WEEKLY;INTERVAL=1,2019-10-15,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Tuesday,Great Holm,"Pre-school, Kensington Drive","Pre-school, Kensington Drive, Great Holm",MK8 9AY,-0.793804,52.034049,Tuesday,Public,10:10,10:40,FREQ=WEEKLY;INTERVAL=1,2019-10-15,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Tuesday,Fairfields,Apollo Drive,"Apollo Drive, Fairfields",MK11 4BA,-0.832668,52.042318,Tuesday,Public,10:50,12:00,FREQ=WEEKLY;INTERVAL=1,2019-10-15,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Tuesday,Whitehouse,Vaynol Close,"Vaynol Close, Whitehouse",MK8 1AG,-0.81679,52.030705,Tuesday,Public,12:45,15:00,FREQ=WEEKLY;INTERVAL=1,2019-10-15,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Tuesday,New Bradwell,Community Centre,"Community Centre, New Bradwell",MK13 0DA,-0.792262,52.065304,Tuesday,Public,15:15,16:30,FREQ=WEEKLY;INTERVAL=1,2019-10-15,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Wednesday,Newport Pagnell,"Outside the Legion, High Street","Outside the Legion, High Street, Newport Pagnell",MK16 8EH,-0.727593,52.085798,Wednesday,Public,09:00,10:30,FREQ=WEEKLY;INTERVAL=1,2019-10-16,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Wednesday,Sherington,School Lane,"School Lane, Sherington",MK16 9NF,-0.699285,52.110682,Wednesday,Public,10:45,12:20,FREQ=WEEKLY;INTERVAL=1,2019-10-16,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Wednesday,Newton Blossomville,The School,"The School, Newton Blossomville",MK43 8AL,-0.648642,52.154142,Wednesday,Public,13:15,14:15,FREQ=WEEKLY;INTERVAL=1,2019-10-16,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Wednesday,Lavendon,Village Hall car park,"Village Hall car park, Lavendon",MK46 4HA,-0.658697,52.172203,Wednesday,Public,14:30,16:00,FREQ=WEEKLY;INTERVAL=1,2019-10-16,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Thursday,Willen,Oaktree Court,"Oaktree Court, Willen",MK15 9LP,-0.728378,52.063311,Thursday,Public,09:00,10:15,FREQ=WEEKLY;INTERVAL=1,2019-10-17,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Thursday,Oldbrook,"Busy Bees Nursery, Duckworth Court","Busy Bees Nursery, Duckworth Court, Oldbrook",MK6 2RX,-0.7609,52.029338,Thursday,Public,10:25,11:00,FREQ=WEEKLY;INTERVAL=1,2019-10-17,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Thursday,Shenley Wood,Shenley Wood Retirement Home,"Shenley Wood Retirement Home, Shenley Wood",MK5 6LB,-0.794035,52.015682,Thursday,Public,11:10,11:45,FREQ=WEEKLY;INTERVAL=1,2019-10-17,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Thursday,Shenley Church End,William Sutton House,"William Sutton House, Shenley Church End",MK5 6BU,-0.785528,52.024533,Thursday,Public,11:55,12:30,FREQ=WEEKLY;INTERVAL=1,2019-10-17,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Thursday,Simpson,The Mount,"The Mount, Simpson",MK6 3DT,-0.717207,52.014304,Thursday,Public,12:45,13:15,FREQ=WEEKLY;INTERVAL=1,2019-10-17,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Thursday,Hanslope,Long Street,"Long Street, Hanslope",MK19 7BW,-0.832726,52.119118,Thursday,Public,14:15,16:15,FREQ=WEEKLY;INTERVAL=1,2019-10-17,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Friday,Old Farm/Brownswood,Britten Grove,"Britten Grove, Old Farm/Brownswood",MK7 8QU,-0.678778,52.014932,Friday,Public,09:00,09:30,FREQ=WEEKLY;INTERVAL=1,2019-10-18,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Friday,Bow Brickhill,Woburn Sands Rd/Church Rd Junction,"Woburn Sands Rd/Church Rd Junction, Bow Brickhill",MK17 9LA,-0.67982,52.002573,Friday,Public,09:40,10:00,FREQ=WEEKLY;INTERVAL=1,2019-10-18,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Friday,Little Brickhill,Wyness Avenue,"Wyness Avenue, Little Brickhill",MK17 9NG,-0.675442,51.981339,Friday,Public,10:10,10:30,FREQ=WEEKLY;INTERVAL=1,2019-10-18,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Friday,Walnut Tree,"Kiddi Caru Nursery, Fyfield Barrow","Kiddi Caru Nursery, Fyfield Barrow, Walnut Tree",MK7 7AN,-0.689801,52.022688,Friday,Public,10:45,11:15,FREQ=WEEKLY;INTERVAL=1,2019-10-18,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Friday,Milton Keynes Village,Willen Road,"Willen Road, Milton Keynes Village",MK10 9AF,-0.706436,52.044712,Friday,Public,11:25,12:15,FREQ=WEEKLY;INTERVAL=1,2019-10-18,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Friday,Monkston,Community Centre,"Community Centre, Monkston",MK10 9FJ,-0.700126,52.03504,Friday,Public,12:25,12:45,FREQ=WEEKLY;INTERVAL=1,2019-10-18,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
Milton Keynes,Mobile,Friday,Newport Pagnell,"Outside the Legion, High Street","Outside the Legion, High Street, Newport Pagnell",MK16 8EH,-0.727593,52.085798,Friday,Public,12:55,13:45,FREQ=WEEKLY;INTERVAL=1,2019-10-18,,,https://www.milton-keynes.gov.uk/libraries/about-libraries/mobile-library-service
