organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Edinburgh,Mobile 1,Tuesday,,Alnwickhill Park,1-4 Alnwickhill Park,EH16 6UH,-3.168302,55.906029,Tuesday,16:00,16:30,FREQ=WEEKLY,2019-05-21,,https://www.edinburgh.gov.uk//directory_record/9827/alnwickhill_park
Edinburgh,Mobile 1,Wednesday,,Baberton Mains Drive,280 Baberton Mains Drive,EH14 3EG,-3.284587,55.908267,Wednesday,15:10,15:20,FREQ=WEEKLY,2019-05-22,,https://www.edinburgh.gov.uk//directory_record/9861/baberton_mains_drive
Edinburgh,Mobile 1,Tuesday,,Barntongate Avenue (22),22 Barntongate Avenue,EH4 8BB,-3.3036600349805667,55.959333935902144,Tuesday,13:30,14:00,FREQ=WEEKLY,2019-05-21,,https://www.edinburgh.gov.uk//directory_record/168434/barntongate_avenue_22
Edinburgh,Mobile 1,Monday,,Bellenden Gardens,8 Bellenden Gardens,EH16 5TA,-3.1524013154830755,55.922101208527366,Monday,13:45,14:15,FREQ=WEEKLY,2019-05-20,,https://www.edinburgh.gov.uk//directory_record/9799/bellenden_gardens
Edinburgh,Mobile 1,Friday,,Bingham Avenue,28 Bingham Avenue,EH15 3HZ,-3.123501,55.939332,Friday,11:00,11:15,FREQ=WEEKLY,2019-05-24,,https://www.edinburgh.gov.uk//directory_record/9831/bingham_avenue
Edinburgh,Mobile 1,Wednesday,,Bonnington Village,4 Bonnington Village,EH27,-3.4090457673339642,55.90953524185544,Wednesday,16:15,16:30,FREQ=WEEKLY,2019-05-22,,https://www.edinburgh.gov.uk//directory_record/9863/bonnington_village
Edinburgh,Mobile 1,Friday,,"Braidwood House, Dumbiedykes",4 Bonnington Village,EH8 9UT,-3.177829,55.948529,Friday,11:40,12:00,FREQ=WEEKLY,2019-05-24,,https://www.edinburgh.gov.uk//directory_record/9832/braidwood_house_dumbiedykes
Edinburgh,Mobile 1,Friday,,Buckstone Circle,30 - 32 Buckstone Circle,EH10 6XQ,-3.197507,55.903322,Friday,14:50,15:30,FREQ=WEEKLY,2019-05-24,,https://www.edinburgh.gov.uk//directory_record/9835/buckstone_circle
Edinburgh,Mobile 1,Wednesday,,Calder Park,1 Calder Park,EH11 4NF,-3.2944880859832892,55.919989363505714,Wednesday,15:30,15:50,FREQ=WEEKLY,2019-05-22,,https://www.edinburgh.gov.uk//directory_record/9862/calder_park
Edinburgh,Mobile 1,Friday,,Cameron Toll Shopping Centre,Cameron Toll Shopping Centre,EH16 5PB,-3.1646572349927737,55.9256507726428,Friday,13:30,14:30,FREQ=WEEKLY,2019-05-24,,https://www.edinburgh.gov.uk//directory_record/168441/cameron_toll_shopping_centre
Edinburgh,Mobile 1,Thursday,,Cammo Gardens,8-10 Cammo Gardens,EH4 8EH,-3.3079025742335944,55.959785369028154,Thursday,15:20,15:45,FREQ=WEEKLY,2019-05-23,,https://www.edinburgh.gov.uk//directory_record/168442/cammo_gardens
Edinburgh,Mobile 1,Thursday,,Cammo Grove,22-30 or 8 Cammo Grove,EH4 8EX,-3.316039083328178,55.95840449220196,Thursday,14:45,15:15,FREQ=WEEKLY,2019-05-23,,https://www.edinburgh.gov.uk//directory_record/9822/cammo_grove
Edinburgh,Mobile 1,Tuesday,,Camus Avenue,22 Camus Avenue,EH10 6QT,-3.210052,55.90656,Tuesday,14:00,14:30,FREQ=WEEKLY,2019-05-21,,https://www.edinburgh.gov.uk//directory_record/9823/camus_avenue
Edinburgh,Mobile 1,Monday,,Carnbee Park,1 Carnbee Park,EH16 6GE,-3.149231558197016,55.907300824268724,Monday,16:35,17:00,FREQ=WEEKLY,2019-05-20,,https://www.edinburgh.gov.uk//directory_record/9804/carnbee_park
Edinburgh,Mobile 1,Friday,,Carrickvale Community Centre,1 Carnbee Park,EH11 3HH,-3.26411,55.931338,Friday,10:00,10:15,FREQ=WEEKLY,2019-05-24,,https://www.edinburgh.gov.uk//directory_record/9866/carrickvale_community_centre
Edinburgh,Mobile 1,Thursday,,Claremont Road,41 Claremont Road,EH6 7NN,-3.155672,55.968076,Thursday,13:20,14:15,FREQ=WEEKLY,2019-05-23,,https://www.edinburgh.gov.uk//directory_record/9812/claremont_road
Edinburgh,Mobile 1,Wednesday,,Clark Road,9 Clark Road,EH5 3BD,-3.2069710490031866,55.97474875593187,Wednesday,13:30,14:00,FREQ=WEEKLY,2019-05-22,,https://www.edinburgh.gov.uk//directory_record/168438/clark_road
Edinburgh,Mobile 1,Thursday,,Coillesdene Avenue,68 Coillesdene Avenue,EH15 2LH,-3.088575,55.946969,Thursday,11:15,11:35,FREQ=WEEKLY,2019-05-23,,https://www.edinburgh.gov.uk//directory_record/9808/coillesdene_avenue
Edinburgh,Mobile 1,Wednesday,,"Craighall Road, Victoria Park","Craighall Road, Victoria Park",EH15 2LH,-3.1957279442212894,55.97492905856165,Wednesday,15:00,15:20,FREQ=WEEKLY,2019-05-22,,https://www.edinburgh.gov.uk//directory_record/168440/craighall_road_victoria_park
Edinburgh,Mobile 1,Monday,,Craiglockhart Drive North,16 Craiglockhart Drive North,EH14 1HT,-3.241211,55.923035,Monday,15:30,16:00,FREQ=WEEKLY,2019-05-20,,https://www.edinburgh.gov.uk//directory_record/9845/craiglockhart_drive_north
Edinburgh,Mobile 1,Thursday,,Cramond Fair a Far,81 Whitehouse Road,EH4 6PQ,-3.3049084206237467,55.97261465989916,Thursday,10:40,10:50,FREQ=WEEKLY,2019-05-23,,https://www.edinburgh.gov.uk//directory_record/9815/cramond_fair_a_far
Edinburgh,Mobile 1,Thursday,,Cramond Glebe Gardens,2 Cramond Glebe Gardens,EH4 6NZ,-3.299612189163213,55.97661217930887,Thursday,10:00,10:20,FREQ=WEEKLY,2019-05-23,,https://www.edinburgh.gov.uk//directory_record/9814/cramond_glebe_gardens
