organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Thursday,Cameron Court,Cameron Court,Cameron Court,,-3.978169,56.371074,Thursday,13:20,13:50,FREQ=WEEKLY;INTERVAL=2,2019-03-28,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Thursday,Dalnaglar,Dalnaglar,Dalnaglar,,-3.84475,56.376888,Thursday,10:45,11:05,FREQ=WEEKLY;INTERVAL=2,2019-03-28,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Thursday,Duchlage Court,Duchlage Court,Duchlage Court,,-3.840084,56.368798,Thursday,15:10,15:40,FREQ=WEEKLY;INTERVAL=2,2019-03-28,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 1 Tuesday,Tron Square,Dunning,Dunning - Tron Square,,-3.587624,56.312364,Tuesday,17:00,19:00,FREQ=WEEKLY;INTERVAL=2,2019-03-19,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Tuesday,Tron Square,Dunning,Dunning - Tron Square,,-3.587624,56.312364,Tuesday,17:00,19:00,FREQ=WEEKLY;INTERVAL=2,2019-03-26,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 1 Thursday,Earnbank Retirement Home,Earnbank Retirement Home,Earnbank Retirement Home,,-3.403136,56.349383,Thursday,11:30,11:55,FREQ=WEEKLY;INTERVAL=2,2019-03-21,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Tuesday,Rossie Place,Forgandenny,Forgandenny - Rossie Place,,-3.479433,56.348154,Tuesday,15:45,16:15,FREQ=WEEKLY;INTERVAL=2,2019-03-26,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Tuesday,Main street,Glenfarg,Glenfarg - Main street,,-3.397689,56.283187,Tuesday,12:00,13:00,FREQ=WEEKLY;INTERVAL=2,2019-03-26,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 2 Thursday,Glenogle Court,Glenogle Court,Glenogle Court,,-3.847917,56.373066,Thursday,14:35,15:00,FREQ=WEEKLY;INTERVAL=2,2019-03-28,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
Perth and Kinross,Mobile 1,Mobile 1 Week 1 Tuesday,bottom of Mill Rd,Greenloaning,Greenloaning - bottom of Mill Rd,,-3.878431,56.242307,Tuesday,13:30,13:50,FREQ=WEEKLY;INTERVAL=2,2019-03-19,,https://www.culturepk.org.uk/libraries/services-in-the-community/mobile-library-service/
